Date,AHT.L,RTO.L,ABF.L,STJ.L,BATS.L,SMT.L,PRU.L,SMIN.L,SPX.L,SSE.L,BA.L,VOD.L,SDR.L,TSCO.L,RR.L,ANTO.L
2004-11-29,73.33270263671875,150.0,749.5,199.5,883.0,64.69999694824219,347.680908203125,1160.9993896484375,659.0767211914062,821.0,247.0,170.75369262695312,694.0,383.48309326171875,90.68209838867188,229.0
2004-11-30,74.02449798583984,142.0,748.0,199.0,879.0,64.25,345.81719970703125,1148.2493896484375,662.307373046875,823.0,245.25,169.20460510253906,684.0,381.8998107910156,90.33899688720703,229.0
2004-12-01,75.40809631347656,142.75,732.0,200.75,877.5,64.4000015258789,350.5799865722656,1151.2493896484375,664.4613037109375,823.5,250.5,172.18359375,689.0,385.6997985839844,89.56680297851562,230.0
2004-12-02,76.09989929199219,143.25,737.5,200.0,879.5,64.5999984741211,359.48431396484375,1152.7493896484375,662.8458862304688,826.5,253.5,174.32839965820312,699.0,392.66650390625,90.76789855957031,226.0
2004-12-03,76.33049774169922,142.75,729.5,205.0,890.0,64.69999694824219,365.0752868652344,1149.7493896484375,664.4613037109375,830.5,257.25,173.73260498046875,720.5,392.98309326171875,90.85369873046875,220.0
2004-12-06,76.56120300292969,141.75,734.5,210.0,886.0,64.5,361.7620849609375,1177.4993896484375,665.5382080078125,826.5,245.5,172.77940368652344,710.5,392.34979248046875,88.45159912109375,217.8000030517578
2004-12-07,74.25509643554688,141.0,735.5,212.0,878.5,64.69999694824219,361.9692077636719,1172.2493896484375,664.4613037109375,830.0,244.5,173.0177001953125,719.0,391.0830993652344,87.85099792480469,216.0
2004-12-08,74.25509643554688,140.5,726.5,214.0,877.0,64.4000015258789,364.0398864746094,1161.7493896484375,678.4613037109375,836.0,238.5,172.54100036621094,710.5,390.7665100097656,86.39250183105469,212.8000030517578
2004-12-09,75.86930084228516,141.25,728.0,209.0,871.0,64.05000305175781,360.9338073730469,1160.9993896484375,669.8458862304688,832.0,238.25,169.20460510253906,709.5,392.66650390625,85.79199981689453,211.0
2004-12-10,76.33049774169922,141.75,729.0,209.25,892.0,64.0,359.8984069824219,1174.4993896484375,667.1536254882812,832.5,241.75,168.01300048828125,713.5,389.4997863769531,87.16470336914062,214.1999969482422
2004-12-13,74.25509643554688,140.5,743.0,211.0,884.0,64.19999694824219,367.5602111816406,1171.4993896484375,674.1536254882812,836.0,239.75,170.3961944580078,714.5,390.7665100097656,86.39250183105469,217.8000030517578
2004-12-14,74.25509643554688,139.75,735.5,213.0,890.0,64.0999984741211,369.8381042480469,1173.7493896484375,670.9227905273438,830.5,237.5,166.22569274902344,721.5,393.2998046875,85.19149780273438,217.60000610351562
2004-12-15,75.17749786376953,139.5,736.5,215.0,888.0,64.0999984741211,374.8078918457031,1164.7493896484375,674.1536254882812,838.0,238.25,167.17889404296875,733.5,394.5664978027344,85.79199981689453,212.8000030517578
